Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG34407,21.0,23.0,28.0,29.0,24.0,27.0,43.0,45.0,27.0,35.0
CG3704,5.8,6.5,7.0,4.5,6.6,6.0,6.5,4.6,5.3,4.3
CG5104,5.8,5.2,18.0,19.0,17.0,17.0,32.0,26.0,22.0,34.0
CG31191,4.2,5.0,0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.2
CG6451,7.2,8.0,2.2,2.4,3.7,4.8,2.4,3.1,2.6,3.0
CG30181,0.0,0.0,0.0,0.0,0.2,0.4,2.0,2.4,0.0,0.0
CG30091,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0
CG3558,9.6,10.0,10.0,9.4,14.0,18.0,13.0,11.0,8.7,11.0
CG9730,11.0,10.0,8.9,10.0,6.0,4.8,9.4,11.0,6.3,7.2
CG15347,0.5,0.4,21.0,20.0,3.5,5.0,42.0,36.0,2.7,7.4
CG7611,18.0,19.0,29.0,23.0,25.0,23.0,31.0,24.0,24.0,31.0
CG4026,0.6,0.4,6.9,6.8,4.4,4.7,32.0,31.0,5.1,7.3
CG30491,12.0,12.0,6.7,7.2,4.5,3.6,6.4,7.3,11.0,12.0
CG11594,5.6,4.9,84.0,139.0,47.0,53.0,153.0,182.0,11.0,37.0
CG4799,0.4,0.7,9.0,8.5,0.7,0.4,2.0,7.0,28.0,4.2
CG18223,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.1
CG12689,0.1,0.1,0.0,2.8,0.0,0.1,0.0,1.9,0.0,0.7
CG33258,0.2,0.2,3.2,9.2,0.2,0.2,1027.0,1108.0,0.2,1.1
CG4949,3.0,2.8,3.7,2.1,2.6,2.9,1.8,1.4,6.5,2.3
CG11409,0.0,0.0,0.6,0.6,0.2,0.6,0.1,0.1,0.1,0.1
CG8878,11.0,12.0,5.5,4.3,7.4,9.2,5.0,4.5,6.3,5.8
CG18314,26.0,30.0,0.9,1.6,22.0,40.0,0.0,0.1,0.4,0.8
CG34221,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
CG34183,6.9,5.9,9.9,14.0,4.3,3.4,3.9,4.0,5.0,3.5
CG6788,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.1,0.1,0.0
CG43068,3.8,4.5,0.0,1.6,1.5,2.4,0.0,0.8,0.0,0.2
CG33252,0.0,0.0,0.3,2.0,0.0,0.0,0.2,1.0,0.0,0.3
CG10598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG3262,54.0,54.0,45.0,55.0,48.0,47.0,47.0,47.0,39.0,52.0
CG4683,0.0,0.0,0.0,1.2,0.0,0.0,0.1,1.1,0.0,0.2
CG6905,4.5,4.8,3.5,2.6,4.6,5.0,4.3,3.7,4.0,4.0
CG17754,5.2,5.4,5.0,5.8,8.1,8.8,11.0,9.4,6.2,7.5
CG6125,1.5,2.1,8.2,9.7,1.9,2.3,419.0,228.0,0.6,1.2
CG4210,0.4,0.3,5.3,3.5,2.7,2.4,5.7,5.7,1.9,1.7
CG5794,4.7,5.4,3.2,3.1,4.1,4.5,3.3,3.9,4.3,4.8
CG4532,6.8,7.6,4.6,3.6,7.7,9.9,2.3,2.2,6.4,6.5
CG33099,0.1,0.1,3.9,4.1,0.8,0.4,88.0,112.0,45.0,74.0
CG33162,7.9,7.9,19.0,13.0,15.0,11.0,13.0,10.0,44.0,33.0
CG3964,0.1,0.1,0.3,2.2,0.0,0.1,0.1,1.6,0.1,0.6
CG32227,5.3,5.9,0.2,0.3,1.2,1.6,0.1,0.1,0.0,0.1
CG4764,7.2,7.6,10.0,9.5,13.0,14.0,15.0,14.0,11.0,14.0
CG7713,11.0,9.8,8.6,9.1,15.0,13.0,2.7,1.9,15.0,14.0
CG7208,0.3,0.4,3.1,1.4,0.6,0.2,0.6,0.7,8.8,0.7
CG1100,15.0,15.0,35.0,38.0,23.0,25.0,36.0,35.0,30.0,26.0
CG12637,0.3,0.3,0.0,0.9,0.1,0.4,0.1,1.0,0.0,0.2
CG8620,1.4,1.4,2.0,1.5,0.7,0.8,194.0,121.0,0.2,1.0
CG12273,3.8,4.4,2.4,2.3,3.8,4.4,6.2,5.3,4.0,4.8
CG6688,0.0,0.0,0.7,0.9,0.0,0.1,2.0,3.0,12.0,24.0
CG6181,7.7,8.6,6.9,6.0,7.8,9.4,9.7,10.0,7.7,7.0
CG34126,14.0,15.0,9.5,10.0,14.0,19.0,8.3,8.8,9.5,13.0
CG30030,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.2
CG4774,9.0,9.3,15.0,14.0,9.8,9.9,13.0,11.0,6.4,8.6
CG43934,0.4,0.5,0.3,0.1,0.2,0.3,0.2,0.2,0.3,0.2
CG18112,3.5,3.0,3.2,2.9,3.6,4.0,2.4,2.4,4.1,4.2
CG14034,0.1,0.2,0.1,15.0,0.1,0.2,0.0,0.6,0.0,0.9
CG10178,2.9,3.4,23.0,30.0,15.0,20.0,89.0,109.0,11.0,21.0
CG8660,17.0,17.0,9.1,9.5,18.0,20.0,9.4,8.1,9.0,9.8
CG2991,28.0,30.0,32.0,34.0,23.0,34.0,49.0,48.0,14.0,22.0
CG1434,1.3,2.0,3.6,3.0,9.2,9.4,3.3,2.8,3.1,2.9
CG11227,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.1
CG4306,2.2,1.9,4.0,14.0,9.5,17.0,0.1,0.7,0.5,2.8
CG33756,6.0,5.8,4.5,4.8,3.5,3.3,3.8,4.5,4.2,3.3
CG13350,0.5,0.5,2.1,0.9,0.8,0.8,0.6,0.5,4.8,1.5
CG4046,255.0,202.0,1097.0,628.0,1201.0,563.0,1098.0,732.0,887.0,992.0
CG9084,0.4,0.5,0.9,1.1,0.0,0.1,1.0,1.7,0.2,0.5
CG34288,0.1,0.0,1.7,0.9,0.4,0.2,6.3,7.8,0.5,1.9
CG13401,4.8,5.3,2.8,2.4,3.4,4.2,3.8,3.7,3.9,4.0
CG32226,4.7,5.6,1.2,1.0,2.1,2.5,0.9,1.1,1.3,1.0
CG6543,9.0,7.2,69.0,69.0,58.0,39.0,102.0,119.0,24.0,31.0
CG32633,0.2,0.1,1.6,2.7,0.1,0.0,2.7,1.9,0.1,2.2
CG2615,4.0,4.2,5.5,4.4,3.8,4.2,4.1,3.9,5.7,5.2
CG4404,15.0,14.0,19.0,16.0,27.0,25.0,30.0,22.0,25.0,31.0
CG8262,0.6,0.6,0.9,0.4,0.3,0.3,0.2,0.2,2.1,0.3
CG4380,14.0,13.0,11.0,9.3,9.9,9.7,8.9,7.8,14.0,13.0
CG43059,0.0,0.0,0.0,2.6,0.0,0.0,0.0,3.3,0.0,0.2
CG14619,18.0,19.0,12.0,15.0,21.0,28.0,11.0,9.7,9.0,11.0
CG44163,0.0,0.0,0.1,2.6,0.6,0.7,0.0,0.8,0.0,0.1
CG30002,1.0,0.5,23.0,38.0,19.0,22.0,0.4,0.3,0.6,3.8
CG2981,0.2,2.4,137.0,325.0,3.4,4.2,0.1,0.1,4.8,31.0
CG15118,8.0,8.0,9.7,10.0,36.0,46.0,14.0,15.0,8.8,14.0
CG10166,9.9,9.0,18.0,19.0,28.0,27.0,24.0,22.0,50.0,52.0
CG15093,3.8,1.8,46.0,46.0,58.0,45.0,339.0,432.0,28.0,45.0
CG18542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG11050,29.0,27.0,83.0,62.0,73.0,75.0,88.0,55.0,41.0,54.0
CG42560,0.1,0.0,0.1,5.4,0.1,0.1,0.0,9.3,0.0,0.6
CG42635,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.1
CG16916,15.0,14.0,46.0,48.0,28.0,28.0,38.0,39.0,25.0,26.0
CG2845,14.0,14.0,4.3,4.2,6.3,6.9,6.4,6.4,7.1,7.7
CG30028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG5422,18.0,19.0,19.0,18.0,20.0,24.0,19.0,20.0,21.0,18.0
CG10645,5.7,4.4,18.0,24.0,17.0,16.0,121.0,61.0,11.0,21.0
CG16799,2.3,1.2,72.0,71.0,22.0,6.0,106.0,58.0,26.0,42.0
CG34107,0.2,0.3,0.0,7.0,0.1,0.1,0.0,4.2,0.0,1.0
CG6584,38.0,40.0,30.0,37.0,42.0,48.0,119.0,146.0,18.0,24.0
CG10334,44.0,44.0,13.0,14.0,30.0,33.0,11.0,12.0,15.0,23.0
CG11637,0.4,0.1,1.0,1.3,0.8,0.6,1.0,0.8,0.6,0.9
CG10038,4.6,4.8,7.3,7.3,6.7,4.8,4.5,5.0,5.6,7.9
CG7331,8.1,8.0,17.0,22.0,9.4,11.0,13.0,15.0,26.0,31.0
CG13982,4.0,4.0,0.8,0.6,1.3,1.3,0.0,0.0,0.5,0.6
CG42258,28.0,28.0,16.0,19.0,18.0,22.0,19.0,17.0,10.0,15.0
CG8339,15.0,16.0,11.0,8.5,15.0,18.0,6.1,7.3,5.9,6.8
CG7525,0.2,0.2,2.6,2.7,5.4,7.6,0.3,0.2,8.7,21.0
CG12617,0.0,0.1,0.0,5.6,0.0,0.0,0.0,5.4,0.0,1.3
CG8783,8.1,8.7,4.5,4.4,5.2,5.8,4.8,4.8,5.8,5.3
CG6337,1.5,1.5,0.6,0.8,0.4,0.5,57.0,17.0,0.0,0.6
CG31909,0.1,0.2,0.0,4.6,0.0,0.1,0.0,3.7,0.0,0.7
CG3047,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
CG10128,7.4,8.1,8.1,6.7,7.8,7.5,10.0,8.9,10.0,8.9
CG10777,18.0,16.0,12.0,10.0,12.0,14.0,10.0,10.0,11.0,7.4
CG9673,1.7,1.9,4.6,5.8,0.4,0.5,1.3,7.7,0.4,1.8
CG9704,11.0,12.0,2.0,1.7,8.8,11.0,1.2,1.4,1.0,0.5
CG10120,34.0,30.0,281.0,336.0,147.0,160.0,183.0,294.0,25.0,72.0
CG2187,0.0,0.0,0.6,0.4,0.0,0.0,23.0,17.0,0.6,0.2
CG7556,6.3,5.1,13.0,11.0,13.0,7.9,12.0,7.6,38.0,35.0
CG31688,7.8,8.8,4.3,5.8,5.3,6.3,7.5,8.8,6.5,9.1
CG15064,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0
CG11024,25.0,23.0,49.0,56.0,93.0,87.0,173.0,204.0,57.0,84.0
CG7926,8.5,9.4,3.8,3.5,3.7,4.0,3.9,4.0,4.0,3.7
CG7802,0.1,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.1
CG33351,0.6,0.6,2.6,5.2,0.5,0.6,0.6,0.8,0.7,1.9
CG10346,2.3,2.3,1.9,0.7,1.4,1.3,1.0,0.9,5.0,1.0
CG2937,10.0,11.0,14.0,12.0,9.4,6.6,11.0,9.4,8.0,9.5
CG11985,27.0,26.0,21.0,16.0,29.0,27.0,20.0,18.0,19.0,18.0
CG18870,7.5,7.6,3.5,2.2,5.1,5.7,3.0,2.5,5.3,1.7
CG34245,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.2,0.0,0.2
CG1373,1.3,0.3,4.8,2.3,10.0,1.6,1.3,0.4,35.0,75.0
CG32500,0.1,0.2,0.1,0.3,0.2,0.0,0.3,0.3,0.0,0.0
CG10732,2.4,2.7,7.6,7.3,2.0,2.1,1.4,1.8,2.0,3.1
CG7855,0.1,0.1,1.4,0.6,0.7,0.6,0.5,0.4,2.0,0.8
CG5366,10.0,11.0,10.0,9.4,12.0,14.0,11.0,12.0,15.0,20.0
CG14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG5895,72.0,73.0,6.3,10.0,11.0,11.0,0.1,0.1,0.7,2.4
CG34228,22.0,20.0,32.0,48.0,27.0,27.0,35.0,37.0,21.0,30.0
CG3796,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0
CG11756,0.0,0.1,0.0,0.8,0.0,0.1,0.0,0.5,0.0,0.1
CG18477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG15916,21.0,13.0,12.0,14.0,20.0,14.0,14.0,11.0,12.0,12.0
CG11474,9.6,10.0,13.0,18.0,14.0,14.0,12.0,13.0,5.0,8.0
CG7757,8.8,9.5,5.6,4.0,6.0,6.0,6.3,5.9,5.4,4.8
CG11686,8.1,4.8,34.0,33.0,23.0,14.0,219.0,127.0,8.5,14.0
CG4003,4.4,4.1,9.5,5.4,7.1,5.5,7.6,7.9,9.2,6.8
CG14233,0.2,0.2,6.1,5.0,2.4,0.9,0.1,0.1,0.5,1.4
CG12828,0.0,0.0,0.0,4.8,0.0,0.0,0.0,1.2,0.0,0.2
CG9073,0.2,0.2,10.0,14.0,0.3,0.2,1.5,0.5,1.8,3.5
CG17527,0.3,0.2,2.9,7.6,5.1,6.7,23.0,42.0,0.4,3.3
CG5196,9.0,9.0,9.2,9.4,13.0,12.0,11.0,10.0,8.6,11.0
CG3004,6.3,6.0,10.0,7.9,9.2,7.6,9.3,8.9,7.4,6.5
CG3560,149.0,136.0,738.0,952.0,346.0,337.0,389.0,320.0,228.0,530.0
CG31262,0.1,0.1,2.0,0.1,0.0,0.0,0.3,0.0,4.5,0.4
CG9906,0.3,0.4,0.0,0.4,0.1,0.1,0.0,0.2,0.0,0.1
CG7354,12.0,12.0,12.0,10.0,8.4,6.9,12.0,11.0,7.5,9.3
CG5809,11.0,11.0,25.0,22.0,17.0,12.0,16.0,16.0,41.0,23.0
CG1676,2.6,2.4,2.2,1.3,1.5,1.4,2.5,2.4,1.4,1.7
CG30497,15.0,14.0,38.0,39.0,49.0,79.0,18.0,20.0,113.0,71.0
CG11228,8.3,9.4,8.1,7.8,7.4,7.5,9.4,8.2,7.1,8.8
CG45782,9.2,7.2,0.3,0.5,193.0,244.0,0.1,0.1,0.8,1.2
CG5786,2.1,1.9,5.4,1.9,3.3,2.0,3.0,1.4,3.9,2.0
CG8186,81.0,82.0,66.0,69.0,83.0,85.0,364.0,310.0,307.0,560.0
CG1882,12.0,11.0,32.0,32.0,21.0,18.0,43.0,38.0,8.2,15.0
CG11345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG4611,3.1,3.3,2.9,2.2,2.0,1.9,2.5,2.6,2.8,2.4
CG9686,194.0,170.0,19.0,32.0,114.0,74.0,0.2,0.1,2.3,9.5
CG1669,9.4,8.6,3.9,3.7,8.6,9.6,4.8,4.1,5.7,8.6
CG13053,0.7,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
CG6178,5.9,5.6,46.0,70.0,13.0,9.8,67.0,78.0,9.0,11.0
CG17982,2.7,3.5,3.1,3.7,4.2,4.2,3.9,3.2,3.5,4.3
CG2611,5.0,5.1,6.1,6.0,4.8,4.1,8.8,8.4,3.4,5.2
CG11048,0.2,0.3,0.1,0.2,0.2,0.2,0.4,0.4,0.0,0.1
CG13482,0.2,0.2,3.0,3.0,0.1,0.1,24.0,23.0,0.4,1.2
CG6382,10.0,10.0,31.0,19.0,19.0,15.0,36.0,29.0,42.0,29.0
CG1638,0.3,0.4,0.3,0.7,0.1,0.2,0.3,0.8,0.2,0.2
CG18764,2.4,2.6,1.6,1.6,1.9,2.1,1.8,1.6,2.0,2.1
CG7902,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.3
CG10476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG7476,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,0.0,0.0
CG14080,30.0,33.0,6.8,6.4,13.0,18.0,8.0,7.7,6.8,5.7
CG7015,30.0,31.0,13.0,12.0,21.0,27.0,11.0,12.0,13.0,9.9
CG1883,287.0,255.0,1199.0,655.0,1388.0,724.0,1181.0,786.0,995.0,1263.0
CG33654,1.9,1.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.1
CG14526,4.3,3.4,28.0,38.0,29.0,28.0,0.6,0.8,4.5,7.8
CG3806,5.0,5.6,7.0,5.7,7.6,7.3,5.6,6.5,8.2,9.0
CG5485,6.4,6.2,13.0,13.0,7.7,8.4,63.0,47.0,7.5,9.4
CG12449,1.4,1.3,16.0,19.0,15.0,16.0,2.4,1.0,87.0,123.0
CG9631,1.1,0.5,29.0,33.0,30.0,25.0,0.4,0.3,20.0,50.0
CG7524,8.1,9.4,7.2,4.0,4.1,4.3,19.0,11.0,14.0,9.8
CG33229,51.0,52.0,33.0,27.0,34.0,33.0,49.0,44.0,38.0,43.0
CG32463,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1
CG6673,15.0,16.0,44.0,54.0,54.0,53.0,109.0,103.0,39.0,62.0
CG4459,0.8,0.8,0.3,0.3,0.2,0.2,1.0,0.2,0.0,0.2
CG6424,87.0,92.0,18.0,24.0,55.0,64.0,10.0,10.0,40.0,94.0
CG17876,0.5,1.6,76.0,82.0,16.0,17.0,0.4,15.0,6.5,155.0
CG31875,0.4,0.3,2.7,1.6,0.6,0.6,5.0,4.0,3.8,2.7
CG15693,244.0,180.0,1435.0,680.0,1410.0,564.0,1324.0,790.0,803.0,875.0
CG13868,35.0,34.0,112.0,129.0,67.0,47.0,489.0,450.0,16.0,34.0
CG8562,0.0,0.0,0.2,3.6,0.0,0.0,0.0,1.6,0.3,0.1
CG40470,80.0,83.0,5.6,8.7,3.4,3.7,0.1,0.2,1.1,2.2
CG43775,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.2,0.0,0.0
CG8490,5.4,5.2,3.2,2.6,3.0,3.0,4.4,3.4,3.5,2.3
CG10641,31.0,32.0,15.0,17.0,46.0,52.0,80.0,61.0,75.0,97.0
CG14120,0.2,0.0,0.6,2.7,0.0,0.0,20.0,14.0,0.5,0.8
CG1252,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG34168,0.2,0.2,0.1,44.0,0.1,1.6,1.3,41.0,0.0,8.6
CG31128,0.0,0.0,0.0,1.8,0.0,0.1,0.0,1.5,0.0,0.4
CG13137,2.4,2.4,0.0,0.5,0.3,0.3,0.0,0.1,0.8,0.1
CG13050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG32022,14.0,14.0,6.5,6.9,9.5,9.0,3.9,5.0,7.5,7.7
CG9968,9.2,6.6,20.0,16.0,28.0,24.0,32.0,25.0,41.0,44.0
CG10155,57.0,67.0,10.0,10.0,13.0,18.0,6.1,5.5,8.0,9.7
CG7878,8.3,8.7,12.0,11.0,11.0,11.0,18.0,18.0,10.0,12.0
CG43799,0.6,0.4,0.8,0.6,1.1,0.8,2.3,1.6,0.2,0.1
CG10538,9.3,9.8,5.4,5.0,6.3,8.0,3.0,2.8,4.9,5.3
CG2346,8.1,8.5,7.8,11.0,0.5,0.5,0.0,0.0,0.7,2.5
CG6251,5.8,5.9,7.5,5.4,7.2,7.4,7.3,5.2,7.8,6.1
CG44037,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.2,0.0,0.0
CG34194,0.0,0.0,0.3,0.3,0.1,0.0,0.5,0.9,0.1,0.1
CG1492,12.0,12.0,1.2,1.9,2.7,3.6,0.3,0.5,1.5,1.7
CG32045,7.9,9.6,6.5,8.2,22.0,30.0,5.3,6.4,7.0,11.0
CG31092,19.0,20.0,172.0,116.0,9.2,9.0,10.0,8.1,7.5,9.6
CG13392,5.0,4.9,7.9,8.6,6.5,6.0,8.5,7.8,6.9,7.9
CG31463,0.0,0.0,0.1,0.9,0.0,0.0,0.0,1.3,0.0,0.1
CG7024,0.5,1.2,0.1,1.2,0.1,0.4,0.2,1.1,0.2,0.7
CG18003,1.5,1.0,26.0,28.0,19.0,22.0,243.0,295.0,1.4,7.8
CG1688,7.2,7.7,0.2,0.2,2.4,3.0,0.0,0.0,0.0,0.1
CG14584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG8974,30.0,26.0,49.0,50.0,80.0,61.0,55.0,50.0,55.0,82.0
CG44013,0.0,0.0,0.8,0.6,0.1,0.1,12.0,3.0,0.0,1.3
CG3035,8.7,7.6,6.2,5.9,13.0,12.0,5.2,4.0,11.0,11.0
CG31370,2.2,2.0,7.4,13.0,6.5,5.8,16.0,18.0,12.0,22.0
CG14030,3.8,4.1,2.7,2.3,2.7,3.1,3.0,3.0,3.2,3.2
CG11589,9.7,9.0,20.0,22.0,22.0,22.0,39.0,30.0,18.0,24.0
