Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG44424,13 ± 2.3,14 ± 0.7,0.3 ± 0.2,0.3 ± 0.1,0.7 ± 0.2,0.8 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.2 ± 0.0
CG42782,0.4 ± 0.6,0.7 ± 0.6,0.4 ± 0.2,1116 ± 505,0.0 ± 0.0,17 ± 24,0.6 ± 0.7,13 ± 11,0.1 ± 0.1,12 ± 13
CG12031,5.3 ± 0.7,5.6 ± 0.2,4.4 ± 0.1,4.0 ± 0.9,6.2 ± 0.2,7.0 ± 1.3,4.8 ± 0.4,4.2 ± 0.9,6.0 ± 0.6,6.4 ± 0.5
CG9753,0.9 ± 0.2,0.9 ± 0.1,0.6 ± 0.0,0.5 ± 0.1,0.8 ± 0.1,1.0 ± 0.3,0.7 ± 0.5,0.5 ± 0.2,0.5 ± 0.1,0.4 ± 0.0
CG10078,4.2 ± 1.9,2.8 ± 2.2,94 ± 41,148 ± 34,94 ± 7.0,111 ± 28,1.4 ± 0.4,2.1 ± 1.0,3.1 ± 0.3,17 ± 0.0
CG31072,20 ± 2.3,21 ± 0.8,5.5 ± 1.0,6.0 ± 1.2,19 ± 2.0,25 ± 3.4,51 ± 9.7,52 ± 6.6,18 ± 4.0,30 ± 1.0
CG33932,9.0 ± 0.2,9.7 ± 2.1,13 ± 0.5,10 ± 1.7,17 ± 0.3,26 ± 1.9,12 ± 1.3,10 ± 0.7,10 ± 3.4,14 ± 3.3
CG42555,12 ± 1.5,14 ± 0.2,6.2 ± 0.9,6.4 ± 1.6,8.9 ± 0.3,12 ± 2.3,5.0 ± 1.7,5.4 ± 1.6,5.9 ± 0.0,7.6 ± 0.0
CG5379,1.1 ± 0.2,1.3 ± 0.2,0.2 ± 0.0,0.2 ± 0.0,0.2 ± 0.0,0.3 ± 0.1,0.5 ± 0.2,0.9 ± 0.3,0.0 ± 0.0,0.2 ± 0.1
CG14358,3.4 ± 0.5,4.2 ± 0.1,0.8 ± 0.2,1.0 ± 0.2,0.4 ± 0.1,0.5 ± 0.4,0.1 ± 0.1,0.1 ± 0.2,0.1 ± 0.0,0.3 ± 0.0
CG11170,3.0 ± 0.3,2.9 ± 0.2,2.2 ± 0.4,2.9 ± 0.5,3.5 ± 0.2,4.7 ± 0.4,2.5 ± 0.8,3.3 ± 0.5,2.6 ± 0.9,1.2 ± 0.1
CG2244,11 ± 1.2,12 ± 0.4,11 ± 0.1,8.6 ± 0.8,8.4 ± 0.1,8.8 ± 0.7,12 ± 2.6,11 ± 2.1,10 ± 1.7,11 ± 0.5
CG42291,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG43396,2.4 ± 0.2,2.1 ± 0.2,0.1 ± 0.1,1.0 ± 0.7,0.2 ± 0.2,0.4 ± 0.1,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.1
CG11680,15 ± 1.1,16 ± 0.2,6.8 ± 1.0,6.2 ± 1.0,9.6 ± 0.5,10 ± 2.0,5.7 ± 0.4,5.6 ± 0.9,4.5 ± 0.1,5.9 ± 0.4
CG45089,116 ± 9.3,100 ± 4.9,177 ± 13,246 ± 45,165 ± 2.4,142 ± 9.1,161 ± 80,127 ± 37,88 ± 6.9,176 ± 2.8
CG4486,2.1 ± 1.3,1.3 ± 0.5,51 ± 20,76 ± 11,60 ± 1.0,79 ± 18,38 ± 4.9,46 ± 12,24 ± 0.5,73 ± 1.8
CG13857,0.2 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,1.2 ± 0.5,0.6 ± 0.1,0.7 ± 0.1,2.5 ± 0.1,2.6 ± 0.5,0.3 ± 0.2,0.7 ± 0.0
CG42673,7.6 ± 1.0,8.9 ± 0.2,3.3 ± 0.6,3.2 ± 0.8,2.2 ± 0.1,2.9 ± 0.2,4.9 ± 0.1,4.1 ± 0.6,1.0 ± 0.5,1.1 ± 0.3
CG10320,83 ± 14,83 ± 16,216 ± 22,309 ± 51,157 ± 17,134 ± 11,226 ± 130,209 ± 95,86 ± 8.3,184 ± 2.5
CG11151,23 ± 2.0,22 ± 1.8,82 ± 16,134 ± 4.3,57 ± 0.6,51 ± 12,133 ± 42,127 ± 33,27 ± 1.4,53 ± 4.7
CG30192,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,5.1 ± 3.4,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,6.0 ± 8.9,0.0 ± 0.0,0.7 ± 0.4
CG11012,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.0,0.1 ± 0.1,0.4 ± 0.0,0.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG5878,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG15189,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.2,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1
CG30461,0.2 ± 0.1,0.4 ± 0.1,0.0 ± 0.0,0.3 ± 0.3,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.7 ± 1.2,0.0 ± 0.0,0.2 ± 0.1
CG31672,0.1 ± 0.0,0.2 ± 0.1,0.3 ± 0.3,0.2 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.2 ± 0.3,0.6 ± 0.3,0.1 ± 0.0
CG5731,0.1 ± 0.0,0.1 ± 0.0,1.0 ± 0.1,1.8 ± 0.6,0.7 ± 0.1,1.2 ± 0.0,0.0 ± 0.0,0.1 ± 0.2,0.1 ± 0.0,0.2 ± 0.0
CG7883,7.5 ± 1.8,7.9 ± 0.2,20 ± 2.9,18 ± 2.1,13 ± 0.5,13 ± 2.7,34 ± 1.5,33 ± 4.9,18 ± 1.3,20 ± 0.1
CG33346,0.0 ± 0.0,0.0 ± 0.0,4.2 ± 4.6,3.5 ± 3.1,0.5 ± 0.7,0.0 ± 0.1,3.7 ± 0.6,5.1 ± 0.7,0.2 ± 0.1,2.4 ± 0.2
CG11992,7.6 ± 1.3,5.6 ± 0.6,36 ± 8.8,34 ± 5.0,30 ± 1.4,24 ± 3.3,39 ± 3.5,36 ± 4.4,18 ± 0.5,33 ± 0.6
CG14757,27 ± 3.1,32 ± 0.7,107 ± 23,148 ± 42,16 ± 1.3,18 ± 0.5,11 ± 1.0,12 ± 2.9,8.9 ± 2.6,40 ± 10
CG14676,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,1.5 ± 0.9,0.2 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.8 ± 1.3,0.5 ± 0.1,1.2 ± 0.2
CG7963,0.4 ± 0.2,0.3 ± 0.1,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0
CG14329,0.2 ± 0.2,0.2 ± 0.0,0.3 ± 0.3,0.2 ± 0.2,14 ± 2.8,15 ± 3.2,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.0
CG32720,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.9 ± 0.6,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.5,0.0 ± 0.0,0.1 ± 0.1
CG11529,0.4 ± 0.1,0.5 ± 0.1,4.6 ± 0.8,7.6 ± 1.3,2.0 ± 0.8,2.7 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.2,1.4 ± 0.6
CG3879,9.0 ± 1.2,8.1 ± 0.3,7.0 ± 2.8,8.7 ± 1.8,4.3 ± 0.3,5.4 ± 2.0,45 ± 5.1,92 ± 22,1.0 ± 0.0,3.6 ± 0.6
